Order_Item_ID,Order_ID,Product_ID,Quantity,Price_per_Unit,Total_Amount
OI0,O29876,P24513,3,21.577536513906537,54.73260954171961
OI1,O35515,P9928,3,391.4078586833579,1179.2235760500737
OI2,O19039,P22714,1,317.8814637133534,322.8814637133534
OI3,O4528,P36746,3,51.27404819068407,143.8221445720522
OI4,O40524,P24559,4,197.1185165538411,778.4740662153644
OI5,O32648,P26140,4,185.70963260483597,747.8385304193439
OI6,O10129,P14537,3,322.44312840591886,967.3293852177566
OI7,O36529,P2789,3,249.9400666039914,754.8201998119741
OI8,O16410,P33731,4,142.3779681309518,559.5118725238073
OI9,O6006,P14876,5,142.5345348154752,712.6726740773761
OI10,O11684,P24839,1,184.0296826935751,184.0296826935751
OI11,O22690,P36316,5,280.6276220202021,1393.1381101010106
OI12,O8150,P23264,1,136.3169430572284,126.3169430572284
OI13,O34211,P20081,2,187.01366619455862,374.02733238911725
OI14,O17912,P37879,4,251.48034178999387,1010.9213671599755
OI15,O25546,P30830,2,92.58997084042525,190.1799416808505
OI16,O27423,P14462,5,462.4331392698108,2317.165696349054
OI17,O18271,P6824,4,152.25898264361487,609.0359305744595
OI18,O39736,P22038,2,220.18034867220672,430.36069734441344
OI19,O21266,P9798,4,147.49213465856778,589.9685386342711
OI20,O28361,P6747,4,376.11090501399985,1494.4436200559994
OI21,O3720,P39394,3,126.03647569200506,378.10942707601515
OI22,O4855,P18699,3,192.27243652459487,566.8173095737845
OI23,O33798,P27597,2,73.4215637044147,136.8431274088294
OI24,O35625,P6824,3,177.81317170903546,538.4395151271063
OI25,O24129,P10306,4,53.19286036204996,212.77144144819985
OI26,O36408,P20026,2,454.55407922834604,899.1081584566921
OI27,O8453,P3697,2,473.8809394070216,947.7618788140431
OI28,O1535,P9428,3,121.83593977603967,355.507819328119
OI29,O37114,P27632,2,413.49190135277627,816.9838027055525
OI30,O37266,P31639,4,481.7491568741798,1926.9966274967192
OI31,O9676,P3523,5,53.95925715383254,274.7962857691627
OI32,O28860,P3205,1,434.6155030605007,424.6155030605007
OI33,O17235,P20660,1,60.25053826093267,60.25053826093267
OI34,O21508,P29124,1,474.1353241470647,474.1353241470647
OI35,O13860,P24997,3,278.9155623671107,841.7466871013321
OI36,O6586,P24759,2,345.5818652205754,681.1637304411508
OI37,O24492,P32732,1,40.822270839656646,30.822270839656646
OI38,O26018,P24598,2,375.38086937626247,755.7617387525249
OI39,O33025,P21077,3,466.08017836816384,1403.2405351044915
OI40,O3631,P3925,5,240.80456704510587,1209.0228352255294
OI41,O16726,P37260,5,340.9315719213584,1704.657859606792
OI42,O13889,P13335,1,323.94272345103946,313.94272345103946
OI43,O22594,P10567,2,433.47413452607736,866.9482690521547
OI44,O37245,P5395,2,447.20278747206044,894.4055749441209
OI45,O36225,P6625,3,214.84613609673949,649.5384082902185
OI46,O10639,P18325,3,176.86729049812845,535.6018714943854
OI47,O6828,P11842,2,259.36599242764555,518.7319848552911
OI48,O13205,P7792,2,37.446322493333675,74.89264498666735
OI49,O22190,P35162,4,58.208892850882634,237.83557140353054
OI50,O37818,P14086,4,145.3545018707481,586.4180074829924
OI51,O24266,P20977,4,134.50588353786756,543.0235341514702
OI52,O33973,P25659,3,371.40329264437185,1119.2098779331154
OI53,O23674,P40052,1,300.93827539731774,305.93827539731774
OI54,O29261,P11407,1,386.4523236921017,391.4523236921017
OI55,O10737,P9164,3,140.59520874337613,421.7856262301284
OI56,O8833,P6399,4,288.54339375255915,1144.1735750102366
OI57,O3615,P39306,5,329.6596877004793,1653.2984385023965
OI58,O20563,P19010,3,110.51217686350905,321.53653059052715
OI59,O18880,P6828,5,11.518977370559469,62.594886852797345
OI60,O3064,P9293,2,195.18738037972733,395.37476075945466
OI61,O7401,P40911,4,47.756508009197205,191.02603203678882
OI62,O33970,P30546,3,302.553729752747,912.661189258241
OI63,O37854,P21635,1,217.18780532746976,207.18780532746976
OI64,O40559,P4889,3,367.44191089164894,1102.3257326749467
OI65,O13202,P25733,2,82.72640465509927,170.45280931019855
OI66,O30604,P4961,4,380.0084244668592,1525.0336978674368
OI67,O17653,P24384,4,167.2241024220347,658.8964096881388
OI68,O38132,P24850,1,431.86674811665927,421.86674811665927
OI69,O4236,P21172,3,28.812606430365875,76.43781929109763
OI70,O14660,P4680,2,221.84985861169042,433.69971722338084
OI71,O28377,P3302,1,486.3992064233546,491.3992064233546
OI72,O40494,P38801,4,87.80373700578805,356.2149480231522
OI73,O16933,P4756,5,103.73707978108978,508.6853989054489
OI74,O17648,P6470,2,377.72685739813704,760.4537147962741
OI75,O7387,P26725,1,486.43747654396566,486.43747654396566
OI76,O35970,P13012,2,242.78224782760674,475.5644956552135
OI77,O15534,P4564,3,400.9294168486389,1207.7882505459165
OI78,O19079,P26579,4,351.54326710709364,1396.1730684283746
OI79,O32797,P25922,1,282.0985931721056,282.0985931721056
OI80,O38616,P28106,3,43.33712050284309,120.01136150852926
OI81,O17957,P37398,2,196.92042538178805,383.8408507635761
OI82,O32647,P13481,5,229.02890642415275,1145.1445321207639
OI83,O2738,P25088,4,152.14762559906978,598.5905023962791
OI84,O39759,P2408,5,322.3626024446346,1611.813012223173
OI85,O26097,P10046,4,293.3543978994361,1173.4175915977444
OI86,O10010,P31383,1,429.8060523072472,429.8060523072472
OI87,O21254,P3769,2,105.815198965398,216.630397930796
OI88,O37759,P5437,4,239.32961574309707,962.3184629723883
OI89,O29626,P35007,5,478.7546118366973,2383.7730591834866
